Name,Developer ID,Scraped Playstore App Name,Scraped Playstore App Link,Scraped Google Developer ID
fjffhiruhf,fjffhiruhf,-,-,-
Apex Real Estate,HouseSigma,HouseSigma Canada Real Estate,https://play.google.com/store/apps/details?id=com.housesigma.android,HouseSigma
Runescape clue helper,-,OSRS Helper,https://play.google.com/store/apps/details?id=com.infonuascape.osrshelper,#lesgens
Lake Gaston Real Estate,Voiceter Pro LLC,KW Real Estate,https://play.google.com/store/apps/details?id=com.smarteragent.android.kw,Keller Williams Realty International (KWRI)
Holly Springs Real Estate,Voiceter Pro LLC,RE/MAX® Real Estate,https://play.google.com/store/apps/details?id=com.remax.remaxmobile,"RE/MAX, LLC"
Six times table,My Times Tables,Times Tables,https://play.google.com/store/apps/details?id=aichner.benjamin.timestables,Benjamin A.
Eight Times Table,My Times Tables,Times Tables,https://play.google.com/store/apps/details?id=aichner.benjamin.timestables,Benjamin A.
Syracuse Real Estate,-,RE/MAX® Real Estate,https://play.google.com/store/apps/details?id=com.remax.remaxmobile,"RE/MAX, LLC"
Ottawa Energy Rate,Benjamin Baril,Ottawa Collection Calendar,https://play.google.com/store/apps/details?id=net.recollect.ottawa.waste,City of Ottawa
CS Quiz,Anuj Gupta,Computer Quiz It,https://play.google.com/store/apps/details?id=it.computer_science.trivia_quiz,Abdelaziz Sebrou
GUG.cz,Denis V.,Google Chrome,https://play.google.com/store/apps/details?id=com.android.chrome,Google LLC
I'm Ready for the Business World,Argh Company,Business Game,https://play.google.com/store/apps/details?id=business.monopoly.city,Ironjaw Studios Private Limited
DEC Facts and Portfolio,-,Behance - Creative Portfolios,https://play.google.com/store/apps/details?id=com.behance.behance,Adobe Inc
EMSI Corporation Trivia Game,-,Trivia Madness,https://play.google.com/store/apps/details?id=com.gimica.triviamadness,Gimica GmbH
iHeartRadio,-,"iHeart: Music, Radio, Podcasts",https://play.google.com/store/apps/details?id=com.clearchannel.iheartradio.controller,"iHeartMedia, Inc."
BBC,-,BBC: World News & Stories,https://play.google.com/store/apps/details?id=bbc.mobile.news.ww,BBC Studios Limited
Works with smartThings,-,SmartThings,https://play.google.com/store/apps/details?id=com.samsung.android.oneconnect,"Samsung Electronics Co., Ltd."
